0:0:0:0:0:0:0:1 - - [12/May/2025:15:37:35 +0700] "GET /SICT-portal/admin?action=addStudentForm HTTP/1.1" 200 86887
0:0:0:0:0:0:0:1 - - [12/May/2025:15:37:53 +0700] "POST /SICT-portal/admin HTTP/1.1" 200 87076
0:0:0:0:0:0:0:1 - - [12/May/2025:15:38:07 +0700] "POST /SICT-portal/admin HTTP/1.1" 200 87071
0:0:0:0:0:0:0:1 - - [12/May/2025:15:38:14 +0700] "POST /SICT-portal/admin HTTP/1.1" 200 87070
0:0:0:0:0:0:0:1 - - [12/May/2025:15:38:17 +0700] "POST /SICT-portal/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2025:15:38:17 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 86049
0:0:0:0:0:0:0:1 - - [12/May/2025:15:58:59 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 86049
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:01 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:03 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:03 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:04 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:05 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:17 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
